ID,Date,Month,Category,Description,Amount,PaymentStatus,DueDate,PaidDate,ImageUrl,CreatedAt,UpdatedAt,SlipUrl,DueDay
EXP-20260502-111740-492,2026-04-30,2026-04,เฟิร์สช้อยส์,เฟิร์สช้อยส์,6320.66,Paid,2026-04-30,2026-04-30,https://drive.google.com/file/d/1UJjjsO7dmHGHqpEzo4AE0EIApouKu4Y5/view?usp=drivesdk,5/2/2026 11:17:41,5/2/2026 11:17:41,,
EXP-20260502-113908-762,2026-04-30,2026-04,KBank Credit Card,KBank บัตรเครดิต,6755.45,Paid,2026-04-30,2026-04-30,https://drive.google.com/file/d/1DXhLV6uELwogGmkW855G1RV2ITC7Pzr9/view?usp=drivesdk,5/2/2026 11:39:09,5/2/2026 11:39:09,,
EXP-20260502-114544-468,2026-04-30,2026-04,ค่าโทรศัพท์ลี,ค่าโทรศัพท์ลี,400,Paid,2026-04-30,2026-04-30,https://drive.google.com/file/d/1s9qbQTIX3ipIXxPhEZBxHeEE2l4xRU8z/view?usp=drivesdk,5/2/2026 11:45:44,5/2/2026 11:45:44,,
EXP-20260502-114634-970,2026-04-30,2026-04,ค่าโทรศัพท์แม่,ค่าโทรศัพท์แม่,267.15,Paid,2026-04-30,2026-04-30,https://drive.google.com/file/d/1kxQi-8kTRtihDVozTDlgX8X3cTrOi2BA/view?usp=drivesdk,5/2/2026 11:46:34,5/2/2026 11:46:34,,
EXP-20260502-115246-570,2026-04-30,2026-04,ค่าผ่อนมอเตอร์ไซต์,ค่าผ่อนมอเตอร์ไซต์ (งวดที่ .../12),5197,Paid,2026-04-30,2026-04-30,https://drive.google.com/file/d/129-xNWo-1A4h-Jou8bpgbQ1ciM57dFgM/view?usp=drivesdk,5/2/2026 11:52:46,5/2/2026 11:52:46,,
EXP-20260502-120119-393,2026-05-02,2026-05,ผ่อนประกัน,ผ่อนชำระประกันยาริส  (งวดที่  3 จาก 6),2500,Paid,2026-05-11,5/2/2026,https://drive.google.com/file/d/1semHinBNL5fFbA9Q4Q4DNoeEETqfWQpp/view?usp=drivesdk,5/2/2026 12:01:19,5/2/2026 12:38:02,https://drive.google.com/file/d/1Nv5oj-fGLDwvb5KV5MCXPxxdOYxwKuEn/view?usp=drivesdk,
EXP-20260502-120121-309,2026-05-02,2026-05,ค่าผ่อนบ้าน,ค่าผ่อนบ้านประจำเดือน พฤษภาคม 69 (พิมลกาญจน์) โอนมาบัญชีฉัน เดียวจ่ายเอง ,11820,Paid,2026-05-15,5/2/2026,https://drive.google.com/file/d/1OZkcFnTJWXt7DifKBBJocy4PZPNsa1ze/view?usp=drivesdk,5/2/2026 12:01:21,5/2/2026 12:36:33,https://drive.google.com/file/d/1u1asQVdkvfVuNcHsVQ0CQX7v0aAv80FQ/view?usp=drivesdk,
EXP-20260502-161111-23,2026-05-02,2026-05,ค่าใช้จ่ายอื่นๆ,ขนม,46,Paid,,2026-05-02,https://drive.google.com/file/d/1TWpUbHVYgy2lA2k3UjsoIiHuMtXM-vlu/view?usp=drivesdk,5/2/2026 16:11:12,5/2/2026 16:11:12,,
EXP-20260503-080947-26,2026-05-03,2026-05,ค่าใช้จ่ายอื่นๆ,ค่าน้ำยาเคลือบเงา ยาง รถ  / ฉันจ่ายไปแล้ว / โอนกลับมาหน่อยจิ 😀🙏 รายละเอียดของส่งให้ทางไลน์แล้ว ,199,Paid,,2026-05-03,https://drive.google.com/file/d/1JVyJ7VeW4echy-yMB36oRgmgjrgcoBNe/view?usp=drivesdk,5/3/2026 8:09:48,5/3/2026 11:16:38,https://drive.google.com/file/d/1vKkOOZ4d52Orvqy-oukVpjYW_fdGNlR-/view?usp=drivesdk,
EXP-20260503-111910-283,2026-05-03,2026-05,Easypass ,ค่าทางด่วน,2500,Paid,2026-05-03,2026-05-03,https://drive.google.com/file/d/1tmNwHJUE8277WNB1PB1XJsXgYa7yx6VY/view?usp=drivesdk,,5/3/2026 11:19:10,5/3/2026 11:19:10,
EXP-20260505-193357-396,2026-05-05,2026-05,ค่าใช้จ่ายอื่นๆ,เปียกแมว วิตามินแมว / โอนกลับมาที่บัญชีฉัน 😀🙏,278,Paid,2026-05-05,5/7/2026,https://drive.google.com/file/d/12oZJsbeEIC78aTrPppIoReDEuJoRo8Zc/view?usp=drivesdk,5/5/2026 19:33:58,5/7/2026 7:43:34,https://drive.google.com/file/d/17Sq5sgSqFzYhytjZ6FbEviNNi5AB1Fla/view?usp=drivesdk,
EXP-20260507-074622-847,2026-05-06,2026-05,ค่ารักษาแมว,ค่ารักษาแมว เลโก้,825,Paid,2026-05-06,2026-05-06,https://drive.google.com/file/d/1cOK4zohfqrS7v3xOmhfXcNeHeqzUjsaL/view?usp=drivesdk,,5/7/2026 7:46:22,5/7/2026 7:46:22,
EXP-20260512-184959-151,2026-05-12,2026-05,3BB Internet,3BB Internet,374.5,Paid,2026-05-12,2026-05-12,https://drive.google.com/file/d/1LuBgubWi74rO1c1R2Avp46tljuwtlfYU/view?usp=drivesdk,,5/12/2026 18:49:59,5/12/2026 18:49:59,
EXP-20260521-182539-420,2026-05-21,2026-05,ค่าใช้จ่ายแมว,ค่าใช้จ่ายแมว วัคซีน,2267,Paid,2026-05-21,5/21/2026,https://drive.google.com/file/d/1hfbhVV0TmlnibSHCXMnRWXC-w0tml540/view?usp=drivesdk,5/21/2026 18:25:39,5/21/2026 18:26:26,https://drive.google.com/file/d/1ZBgf6byE58Hq3qIEGznJ90dQcWYQP8J2/view?usp=drivesdk,
EXP-20260529-084513-323,2026-05-28,2026-05,ค่าใช้จ่ายอื่นๆ,บัตร กรุงศรี โลตัส ซื้ออุปกรณ์ ใส่ในรถ Lumin / ฉันจ่ายไปก่อนแล้ว /โอนเข้าบัญชีฉัน ,2285,Paid,,5/29/2026,https://drive.google.com/file/d/1mdiF12EXDhI8XW1c6ld9AZXgmClNw2az/view?usp=drivesdk,5/29/2026 8:45:13,5/29/2026 12:11:36,https://drive.google.com/file/d/1QlPzndbdFSVFnizqBVPpPFk1h6kmvHKL/view?usp=drivesdk,
EXP-20260529-084512-619,2026-05-28,2026-05,ค่าใช้จ่ายอื่นๆ,อาหาร จ่ายสด  / ฉันจ่ายไปก่อนแล้ว /โอนเข้าบัญชีฉัน ,119,Paid,,5/29/2026,https://drive.google.com/file/d/1OBoc26swSurMkcR6aDuIZuznrgs_siw6/view?usp=drivesdk,5/29/2026 8:45:12,5/29/2026 12:09:11,https://drive.google.com/file/d/1VCTDvpyWdZoIKTiaA9ELFpWhMzPPcMXb/view?usp=drivesdk,
